library,icon
EvilIcons,arrow-right
EvilIcons,bell
EvilIcons,camera
EvilIcons,pencil
Feather,anchor
Feather,arrow-down
Feather,arrow-down-circle
Entypo,aircraft
Entypo,app-store
Entypo,bowl
Entypo,brush
Entypo,cake
Entypo,drink
Entypo,edit
Entypo,dribbble
Entypo,gauge
Entypo,home
Entypo,game-controller
Entypo,heart-outlined
Entypo,instagram
Entypo,keyboard
Entypo,laptop
Entypo,leaf
Entypo,music
Entypo,mobile
Entypo,paper-plane
Entypo,tools
EvilIcons,cart
Feather,gift
Feather,home
Feather,meh
Feather,thumbs-up
Feather,thumbs-down
FontAwesome,heart
FontAwesome,home
FontAwesome,gift
FontAwesome,plane
FontAwesome,cogs
FontAwesome,h-square
FontAwesome,medkit
FontAwesome,puzzle-piece
FontAwesome,apple
FontAwesome,cc-visa
FontAwesome,cc-paypal
FontAwesome,bathtub
FontAwesome5,baby-carriage
FontAwesome5,cat
FontAwesome5,ebay
FontAwesome5,hamburger
FontAwesome5,store
FontAwesome5,store-alt
FontAwesome5,subway
FontAwesome5,guitar
FontAwesome5,lyft
FontAwesome5,tshirt
FontAwesome5,ups
FontAwesome5,wheelchair
FontAwesome6,person-drowning
FontAwesome6,headphones-simple
FontAwesome6,champagne-glasses
FontAwesome6,smoking
Fontisto,island
Fontisto,hotel
Foundation,male-female
Foundation,male
Foundation,female
Foundation,dollar-bill
Foundation,dollar
Foundation,euro
Ionicons,game-controller-sharp
Ionicons,gift-outline
Ionicons,football
Ionicons,game-controller
Ionicons,game-controller-outline
Ionicons,shirt-outline
MaterialIcons,restaurant
MaterialIcons,smoking-rooms
MaterialIcons,snowboarding
SimpleLineIcons,envelope-letter